name,scientific_name,short_description,what_is_it,what_does_it_do,who_is_it_good_for,who_should_avoid,url
Acetyl Tyrosinamide,,"Acetyl tyrosinamide is an effective moisturising ingredient that also has been shown to be effective in evening out the skin tone and reducing hyperpigmentation.

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl glucosamine, alanine, arginine, arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.","N-Acetyl L-Tyrosinamide is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin. ",Acetyl Tyrosinamide is used in skincare to treat fine lines and wrinkles and support the skin's elasticity.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/acetyl-tyrosinamide
Acetyl Tetrapeptide,,"Acetyl tetrapeptide is a string of peptides used in skincare products to reduce the appearance of wrinkles brought on by repeated facial expressions.

It is in a class of ingredients also found on ingredients lists as acetylarginyltryptophyl diphenylglycine, acetyl tetrapeptide, arginine/lysine polypeptide, azelaoyl bis-dipeptide, copper heptapeptide-14 pantothenate, dipeptide, dipeptide diaminobutyroyl benzylamide diacetate, ferric hexapeptide, heptapeptide-15, palmitate, myristol hexapeptide, myristol pentapeptide, myristoyl nonapeptide, myristoyl pentapeptide, oligopeptide, palmitoyl  tripeptide, palmitoyl decapeptide, palmitoyl heptapeptide, palmitoyl hexapeptide, palmitoyl nonapeptide, palmitoyl oligopeptide, palmitoyl pentapeptide, palmitoyl tetrapeptide, palmitoyl tripeptide, palmitoyl tetrapeptide, pentapeptide, sh-oligopeptide, tetrapeptide and copper palmitoyl heptapeptide. 
 ","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Acetyl Tetrapeptide is used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/acetyl-tetrapeptide
Acetyl Glucosamine,,"Acetyl Glucosamine is an amino acid sugar. It increases hyaluronic acid production in the skin, repairs sun damage, improves skin tone & hydration, and reduces the appearance of wrinkles.

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl tyrosinamide, alanine, arginine, arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.","Acetyl Glucosamine is an amino acid sugar.  In the skin, it is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin.","Acetyl Glucosamine is used in skincare to treat red and sensitive skin with hyperpigmentation, and for those who are looking to treat fine lines and wrinkles.","[' ', 'Dry and dehydrated skin', ' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Redness', ' ', 'Texture', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/acetyl-glucosamine
Acetylarginyltryptophyl Diphenylglycine,,"Acetylarginyltryptophyl Diphenylglycine is a synthetic tetrapeptide used in skincare for its firming abilities. It works by inhibiting the enzyme elastase, which breaks down elastin in the skin (the protein responsible for skin firmness and elasticity). This reduction in elastase allows for higher levels of elastin in the skin, which in turn leads to skin that looks firmer, tighter and restructured.

It is in a class of ingredients also found on ingredients lists as acetyl hexapeptide, acetyl tetrapeptide, arginine/lysine polypeptide, azelaoyl bis-dipeptide, copper heptapeptide-14 pantothenate, dipeptide, dipeptide diaminobutyroyl benzylamide diacetate, ferric hexapeptide, heptapeptide-15, palmitate, myristol hexapeptide, myristol pentapeptide, myristoyl nonapeptide, myristoyl pentapeptide, oligopeptide, palmitoyl  tripeptide, palmitoyl decapeptide, palmitoyl heptapeptide, palmitoyl hexapeptide, palmitoyl nonapeptide, palmitoyl oligopeptide, palmitoyl pentapeptide, palmitoyl tetrapeptide, palmitoyl tripeptide, palmitoyl tetrapeptide, pentapeptide, sh-oligopeptide, tetrapeptide and copper palmitoyl heptapeptide.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.","Acetylarginyltryptophyl Diphenylglycine  is used in skincare to treat fine lines, wrinkles and improve the skin's elasticity.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/acetylarginyltryptophyl-diphenylglycine
Acai Extract,,"Acai is a plant ingredient which can also be referred to by its botanical name,  euterpe oleracea. It displays potent antioxidant abilities, meaning it is able to protect skin against free radical damage.","An extract from the acai berry, used for its potent antioxidant benefits to target and prevent signs of UV and free radical damage.","Provide antioxidant benefits to the skin, fighting free radical damage and preventing premature ageing from the damage.","[' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/acai-extract
Ascorbic Acid,,"Part of the Vitamin C family of ingredients, L-ascorbic acid is Vitamin C in its purest form, and the active form required by the body to result in the many skin skin benefits of Vitamin C. The issue with L-ascorbic acid is in the delivery, as it is very unstable in water, and needs a pH 4 or below for it to penetrate the skin. That being said, when it can be stabilised in a formula and is able to penetrate the skin, it provides the highest potency of any form of Vitamin C currently available.

Vitamin C can also be found on ingredients lists as ascorbyl glucoside, ascorbyl palmitate, ethyl ascorbic acid, l-ascorbic acid, magnesium ascorbyl phosphate, sodium ascorbyl phosphate and tetrahexyldecyl ascorbate.",A potent and multifunctional superstar skincare ingredient with decades of research behind it!,"Ascorbic acid is a powerhouse ingredient with evidence for collagen synthesis so can help make the skin firmer, helps with hyperpigmentation, dark spots, and uneven skin tone and is great for preventing damage from the sun by neutralising free radicals.

Since ascorbic acid is already in the active form needed by the skin, no conversion is necessary, and if stabilised is highly potent.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy', ' ', 'Sensitive', ' ', 'Dry Dehydrated', ' ', 'Impaired skin barrier']",https://renude.co/ingredients/ascorbic-acid
Ascophyllum Nodosum Extract,,"Ascophyllum nodosum extract is a type of cold water brown seaweed that has antioxidant properties and serves as a texture enhancer in cosmetics. It is found along the shorelines in cold areas of the world, such as Northern Canada and Iceland.

It is in the class of Algae Extract which also include ahnfeltia concinna extract, alaria esculenta extract, algae exopolysaccharides, algin, alteromonas ferment extract, alteromonas ferment extract, asparagopsis armata extract, chlorella protothecoides, chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, macrocystis pyrifera (kelp) extract, marine extract, padina pavonica thallus extract, parachlorella beijerinckii exopolysaccharides, plankton extract, porphyridium cruentum extract, pseudoalteromonas exopolysaccharides, tripleurospermum maritimum extract, vibrio alginolyticus ferment filtrate, chlorella protothecoides oil",An extract of the seaweed/algae plant and is used in cosmetic products.,Can help attract water to the upper layer of the skin and might have some antioxidant effect,"[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/ascophyllum-nodosum-extract
Arginine PCA,,"Arginine is an amino acid that can be found in food sources such as almonds and chocolate. Arginine is an essential amino acid that the body cannot produce on its own. It is often referred to as the ‘master amino acid’ and has a number of benefits to skin health.

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl glucosamine, acetyl tyrosinamide, alanine,  arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.","Arginine PCA is present in the ""natural moisturising factors"" (NMFs) which moisturise and hydrate the skin.","Helps to protect the skin from free radicals, improve the appearance of hydration, and support collagen production.","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']","[' ', 'Related Allergy']",https://renude.co/ingredients/arginine-pca
Arginine/Lysine Polypeptide,,"Arginine/lysine polypeptide is a skin care ingredient that slows down aging processes in the skin and boosts regeneration.

It is in a class of ingredients also found on ingredients lists as acetyl hexapeptide, acetyl tetrapeptide, acetylarginyltryptophyl diphenylglycine, azelaoyl bis-dipeptide, copper heptapeptide-14 pantothenate, dipeptide, dipeptide diaminobutyroyl benzylamide diacetate, ferric hexapeptide, heptapeptide-15, palmitate, myristol hexapeptide, myristol pentapeptide, myristoyl nonapeptide, myristoyl pentapeptide, oligopeptide, palmitoyl  tripeptide, palmitoyl decapeptide, palmitoyl heptapeptide, palmitoyl hexapeptide, palmitoyl nonapeptide, palmitoyl oligopeptide, palmitoyl pentapeptide, palmitoyl tetrapeptide, palmitoyl tripeptide, palmitoyl tetrapeptide, pentapeptide, sh-oligopeptide, tetrapeptide and copper palmitoyl heptapeptide.","Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.",Helps to preserve the skin’s natural collagen and elastin by offsetting substances within skin that cause both to degrade over time.,"[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/arginine-lysine-polypeptide
Arginine HCL,,"Arginine is an amino acid that can be found in food sources such as almonds and chocolate. Arginine is an essential amino acid that the body cannot produce on its own. It is often referred to as the ‘master amino acid’ and has a number of benefits to skin health.

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl glucosamine, acetyl tyrosinamide, alanine,  arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.","Arginine HCL is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin.","Helps to protect the skin from free radicals, improve the appearance of hydration, and support collagen production.","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']","[' ', 'Related Allergy']",https://renude.co/ingredients/arginine-hcl
Arginine,,"Arginine is an amino acid that can be found in food sources such as almonds and chocolate. Arginine is an essential amino acid that the body cannot produce on its own. It is often referred to as the ‘master amino acid’ and has a number of benefits to skin health.

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl glucosamine, acetyl tyrosinamide, alanine,  arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.","Arginine is present in the ""natural moisturising factors (NMFs)"" which moisturise and hydrate the skin.","Great for dry and Dehydrated skin, Arginine is an antioxidant with helps smooth the surface of our skin and treats fine lines.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Texture']","[' ', 'Related Allergy']",https://renude.co/ingredients/arginine
Argan Oil,,"Argan oil is derived from the nut of the Argan tree which grows in Morocco, it is naturally high in Vitamin E and fatty acids, which work to nourish the skin, protect the natural lipid barrier and provide antioxidant protection against free radicals.","Argan oil is extracted from the kernels of the argan tree fruit. It is rich in essential fatty acids, antioxidants, and vitamins, including vitamin E, which contribute to its beneficial effects on the skin.","Argan oil offers multiple benefits for the skin. It helps to moisturise and soften the skin, protect the skin against environmental damage and soothes and calms the skin.","[' ', 'Dry and dehydrated skin', ' ', 'Radiance', ' ', 'Pregnancy', ' ', 'Texture']","[' ', 'Related Allergy', ' ', 'Oily']",https://renude.co/ingredients/argan-oil
Arbutin,,"Arbutin, also known as alpha arbutin, can be derived from the bearberry plant, or made synthetically, and is used in skincare to lighten dark spots. It works by breaking down in the body into hydroquinone, which can inhibit tyrosinase, an enzyme responsible for producing melanin. It is one of the most well-researched actives for lightening pigmentation, with better skin tolerability vs. prescription hydroquinone.","Arbutin is a natural compound found in various plant sources, such as bearberry, cranberries, and pears. It is used in skincare for its potential to brighten the skin, even out the complexion, and reduce the appearance of dark spots.","Arbutin offers multiple benefits for the skin. It is known for its skin-lightening properties, as it can inhibit the enzyme involved in melanin production, thereby helping to reduce the appearance of dark spots, hyperpigmentation, and uneven skin tone. Arbutin can also contribute to a more radiant and luminous complexion.","[' ', 'Pigmentation', ' ', 'Radiance', ' ', 'Pregnancy']","[' ', 'Pregnancy']",https://renude.co/ingredients/arbutin
Aquagenium,,"A Bioderma exclusive ingredient, which is a blend of niacinamide and apple extract, which works to stimulate the expression of aquaporins (proteins which are responsible for water transfer between cells). Aquagenium works to stimulate the movement of water in order to deliver deep hydration to the skin.",Aquagenium is a patented complex used in skincare products to enhance the skin's natural hydration and moisture retention abilities. It is designed to optimize the skin's water balance and improve its overall hydration levels.,"The complex claims to:
- Aims to increase the water retention capacity of the skin.
- Strengthens the skin's moisture barrier and prevent dehydration.
- May also support the skin's water circulation mechanisms which could increase water balance in the skin","[' ', 'Dry and dehydrated skin', ' ', 'Pregnancy', ' ', 'Texture']","[' ', 'Related Allergy']",https://renude.co/ingredients/aquagenium
Apple Stem Cells,,"Apple stem cells, also known as malus domestica fruit cell culture extract, occur naturally within plants to help regenerate cells after stress or injury, and studies show this can encourage similar regenerating mechanisms in human skin. Apple stem cells have been shown to increase synthesis of collagen & elastin to achieve visible anti-ageing results in the skin.",Apple stem cells are derived from the stem cells of apple plants. They are used in skincare for their potential to promote skin rejuvenation and support the skin's natural repair processes.,"Apple stem cells offer potential benefits for the skin: 
- Believed to have anti-aging properties and may help stimulate the renewal and vitality of skin cells. 
- Protect against environmental stressors, and enhance the skin's natural defense mechanisms. 
- May contribute to improved skin texture and a more youthful appearance.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/apple-stem-cells
,Euterpe Oleracea Fruit Extract,,,,[],[],https://renude.co/ingredients
Apple Polyphenols,,"Apple (like most plants), contains polyphenols, which are compounds with strong antioxidant properties, meaning they are able to protect skin from free radical damage.",Apple polyphenols are natural compounds found in apples and are known for their antioxidant and anti-inflammatory properties. They are commonly used in skincare for their potential to protect the skin against environmental damage and promote a healthier complexion.,"Apple polyphenols offer multiple benefits for the skin:

- Possess potent antioxidant properties, helping to neutralize  free radicals and prevent oxidative stress.
- Have anti-inflammatory effects, which can soothe and calm the skin, reducing redness and irritation.
- Assist in promoting a more even skin tone and enhancing the overall radiance of the complexion.","[' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/apple-polyphenols
Apple Extract,,"Apple extract, also known as pyrus malus extract, is used in cosmetics for its antioxidant abilities, as it is very high in polyphenols. This means it is able to help protect the skin from free radical damage, one of the largest external factors which contributes to ageing of the skin (after UV light).","Apple extract is derived from apples and is used in skincare for its antioxidant-rich properties. It contains various vitamins, minerals, and natural compounds that provide numerous benefits for the skin.","Apple extract offers multiple benefits for the skin:
- Provides antioxidant protection, helping to neutralize free radicals and prevent oxidative damage. 
- Nourish and revitalize the skin, promoting a healthier and more youthful appearance.
- Help in improving hydration and enhancing the overall condition of the skin.","[' ', 'Pregnancy']","[' ', 'Related Allergy']",https://renude.co/ingredients/apple-extract
Anti-Ageing Peptides,,"Many peptides function as anti-ageing ingredients in skincare, due to their ability to fit specific receptors in the body to trigger anti-ageing responses. This includes mechanisms like collagen production, cell regeneration or even blocking muscle contractions to smooth expression lines.

Peptides are a class of ingredients also found on ingredients lists as acetyl hexapeptide, acetyl tetrapeptide, acetylarginyltryptophyl diphenylglycine, arginine/lysine polypeptide, azelaoyl bis-dipeptide, copper heptapeptide-14 pantothenate, dipeptide, dipeptide diaminobutyroyl benzylamide diacetate, ferric hexapeptide, heptapeptide-15, palmitate, myristol hexapeptide, myristol pentapeptide, myristoyl nonapeptide, myristoyl pentapeptide, oligopeptide, palmitoyl  tripeptide, palmitoyl decapeptide, palmitoyl heptapeptide, palmitoyl hexapeptide, palmitoyl nonapeptide, palmitoyl oligopeptide, palmitoyl pentapeptide, palmitoyl tetrapeptide, palmitoyl tripeptide, palmitoyl tetrapeptide, pentapeptide, sh-oligopeptide, tetrapeptide and copper palmitoyl heptapeptide. 
 ",Anti-aging peptides are synthetic or naturally derived compounds composed of short chains of amino acids. They are specifically designed to target signs of aging in the skin.,"They can help stimulate collagen production, improving skin elasticity and reducing the appearance of fine lines and wrinkles, promote skin firmness and smoothness, enhance overall texture and tone, and protect against environmental damage.","[' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/anti-ageing-peptides
Amino Acids,,"Amino Acids are the small building blocks that make up peptides, and proteins. Each amino acid has a unique structure, and as such plays a specific role within the body. There are around 20 different types considered to be most important for human health. 

Amino acids are a class of ingredients. They can also be found on ingredients lists as acetyl glucosamine, acetyl tyrosinamide, alanine, arginine, arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine and valine and yeast amino acids.
","Amino acids are the building blocks of peptides and proteins, each with a unique structure and role within the body.

Some examples include arginine, arginine hcl, arginine pca, glycine, histidine, isoleucine, lysine, phenylalanine, proline, serine, taurine, threonine, valine, yeast amino acids.","Amino acids provide numerous benefits for the skin. They help to support collagen synthesis, promoting skin elasticity and firmness. Amino acids also assist in maintaining the skin's natural moisture barrier, improving hydration levels and preventing moisture loss. Additionally, they aid in skin repair processes, assisting with cell turnover and rejuvenation.","[' ', 'Dry and dehydrated skin', ' ', 'Elasticity', ' ', 'Fine Lines', ' ', 'Texture', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/amino-acids
Alteromonas Ferment Extract,,"Alteromonas Ferment Extract is a polysaccharide excreted by the gram-negative bacteria, Alteromonas macleodii which grows in deep sea waters. Due to its polysaccharide (carbohydrate) structure, it acts as a humectant, drawing water molecules towards it to plump and hydrate the applied area. Studies have also shown this ingredient to have soothing properties against chemical & mechanical irritants, so is a great active for calming symptoms of sensitive skin.

It is in the class of Algae Extract which also include ahnfeltia concinna extract, alaria esculenta extract, algae exopolysaccharides, algin, alteromonas ferment extract, ascophyllum nodosum extract, asparagopsis armata extract, chlorella protothecoides, chlorella vulgaris extract, dunaliella salina (green algae) extract, hydrolyzed f-fucoidan, laminaria ochroleuca (kelp) extract, macrocystis pyrifera (kelp) extract, and marine extract.",A multifunctional extract of seaweed/algae used in cosmetic products.,"In skincare products, it is used for its excellent water-binding properties to impart hydration and plumpness to the skin. In cosmetic product formulation, it is used as a thickening agent to improve the texture and viscosity of formulations.","[' ', 'Dry and dehydrated skin', ' ', 'Fine Lines', ' ', 'Pregnancy', ' ', 'Wrinkles']","[' ', 'Related Allergy']",https://renude.co/ingredients/alteromonas-ferment-extract
